ProductKey,ProductSubcategoryKey,ProductName,StandardCost,Color,ListPrice,Size,DealerPrice,ModelName
310,2,"Road-150 Red, 62",2171.2942,Red,3578.27,62,2146.962,Road-150
600,1,"Mountain-500 Black, 52",294.5797,Black,539.99,52,323.994,Mountain-500
477,28,Water Bottle - 30 oz.,1.8663,NA,4.99,,2.994,Water Bottle
487,32,Hydration Pack - 70 oz.,20.5663,Silver,54.99,70,32.994,Hydration Pack
530,37,Touring Tire Tube,1.8663,NA,4.99,,2.994,Touring Tire Tube
480,37,Patch Kit/8 Patches,0.8565,NA,2.29,,1.374,Patch kit
484,29,Bike Wash - Dissolver,2.9733,NA,7.95,,4.77,Bike Wash
540,37,HL Road Tire,12.1924,NA,32.6,,19.56,HL Road Tire
334,2,"Road-650 Black, 60",413.1463,Black,699.0982,60,419.4589,Road-650
348,1,"Mountain-100 Black, 38",1898.0944,Black,3374.99,38,2024.994,Mountain-100
312,2,"Road-150 Red, 48",2171.2942,Red,3578.27,48,2146.962,Road-150
313,2,"Road-150 Red, 52",2171.2942,Red,3578.27,52,2146.962,Road-150
311,2,"Road-150 Red, 44",2171.2942,Red,3578.27,44,2146.962,Road-150
350,1,"Mountain-100 Black, 44",1898.0944,Black,3374.99,44,2024.994,Mountain-100
578,3,"Touring-2000 Blue, 50",755.1508,Blue,1214.85,50,728.91,Touring-2000
479,28,Road Bottle Cage,3.3623,NA,8.99,,5.394,Road Bottle Cage
560,3,"Touring-2000 Blue, 60",755.1508,Blue,1214.85,60,728.91,Touring-2000
225,19,AWC Logo Cap,6.9223,Multi,8.99,,5.394,Cycling Cap
467,20,"Half-Finger Gloves, L",9.1593,Black,24.49,L,14.694,Half-Finger Gloves
214,31,"Sport-100 Helmet, Red",13.0863,Red,34.99,,20.994,Sport-100
485,30,Fender Set - Mountain,8.2205,NA,21.98,,13.188,Fender Set - Mountain
478,28,Mountain Bottle Cage,3.7363,NA,9.99,,5.994,Mountain Bottle Cage
535,37,LL Mountain Tire,9.3463,NA,24.99,,14.994,LL Mountain Tire
528,37,Mountain Tire Tube,1.8663,NA,4.99,,2.994,Mountain Tire Tube
537,37,HL Mountain Tire,13.09,NA,35,,21,HL Mountain Tire
529,37,Road Tire Tube,1.4923,NA,3.99,,2.394,Road Tire Tube
539,37,ML Road Tire,9.3463,NA,24.99,,14.994,ML Road Tire
482,23,"Racing Socks, L",3.3623,White,8.99,L,5.394,Racing Socks
581,2,"Road-350-W Yellow, 42",1082.51,Yellow,1700.99,42,1020.594,Road-350-W
234,21,"Long-Sleeve Logo Jersey, L",38.4923,Multi,49.99,L,29.994,Long-Sleeve Logo Jersey
237,21,"Long-Sleeve Logo Jersey, XL",38.4923,Multi,49.99,XL,29.994,Long-Sleeve Logo Jersey
465,20,"Half-Finger Gloves, M",9.1593,Black,24.49,M,14.694,Half-Finger Gloves
536,37,ML Mountain Tire,11.2163,NA,29.99,,17.994,ML Mountain Tire
474,22,"Women's Mountain Shorts, S",26.1763,Black,69.99,S,41.994,Women's Mountain Shorts
314,2,"Road-150 Red, 56",2171.2942,Red,3578.27,56,2146.962,Road-150
